Filename,1x (MB),2x (MB),4x (MB),8x (MB),16x (MB)
5-1~,328.92,91.01,45.21,22.59,11.46
5-2~,6,12.22,6.11,3.11,1.61
5-3~,342.6,97.85,48.89,24.55,12.48
6-1~,6.41,9.26,4.67,2.45,1.4
6-2~,91.7,14.47,7.11,3.45,1.51
6-3~,21.28,28.54,14.22,7.11,3.54
6-4~,21.78,33.08,16.53,8.31,4.18
7-1~,112.37,19.44,9.69,4.94,2.64
7-2~,252.89,25.21,12.55,6.05,3.05
7-3~,115.01,18.11,9.15,4.6,2.39
7-4~,18.12,25.3,12.66,6.35,3.14
7-5~,11.51,16.13,8.07,3.96,1.96
7-6~,275.33,62,30.99,15.46,7.76
8-1~,3.04,4.39,2.28,1.31,0.78
8-2~,164.04,16.04,7.94,3.89,1.88
8-3~,153.33,51.12,25.46,12.6,6.28
8-4~,95.25,25.62,12.82,6.46,3.3
8-5~,180.83,47.62,23.86,11.89,5.95
